symbol,yf_ticker,roe,roce,debt_eq,netinc_cagr,trailing_pe,market_cap,sector,sector_pe_avg,pe_valuation_flag,s_roe,s_roce,s_debt_eq,s_netinc_cagr,s_pe_val,quality_score
NIACL,NIACL.NS,3.07590667985307,,2.7795745797342777,74.65540743428633,26.14443,313689899008.0,Financial Services,39.25075387065217,1,0.11573627963661824,,0.6614364519014748,0.8147422761235878,1,0.3968848069009243
MAHABANK,MAHABANK.NS,16.123876199421762,,11.865895101298312,68.74050723770011,7.4162307,435803488256.0,Financial Services,39.25075387065217,1,0.47799819923561504,,0.0,0.7634219530468654,1,0.39608385038005756
MUTHOOTFIN,MUTHOOTFIN.NS,17.966586518835626,,3.429955735649997,9.909237560024199,21.186209,1310799429632.0,Financial Services,39.25075387065217,1,0.5291589393472929,,0.5774702669538899,0.25297550990744216,1,0.39596332382875976
SBICARD,SBICARD.NS,19.41322557421906,,3.755995623187817,5.844870610083652,46.639637,875614044160.0,Financial Services,39.25075387065217,1,0.5693232147454013,,0.5353775260306921,0.21771124203464085,1,0.3946458417351524
LEMONTREE,LEMONTREE.NS,5.610468068757892,15.722630511209216,1.2808356095385263,,61.32841,131605069824.0,Consumer Services,215.50412475,1,0.18610547177100567,0.43488172029848327,0.8549282104110296,,1,0.39279130316757693
BAJAJHFL,BAJAJHFL.NS,11.874146156969445,2.6379466045274524,4.154147532436281,44.98960425986296,40.643383,921139609600.0,Financial Services,39.25075387065217,1,0.3600093151684493,0.0,0.48397490382199626,0.5573484820371634,1,0.3920687265312669
IOC,IOC.NS,13.677497789871866,8.199716476314311,1.653411606648063,-18.482183049009315,12.526101,2114898755584.0,Oil Gas & Consumable Fuels,49.56356671764706,1,0.41007730645762663,0.1726828390464787,0.8068275162322698,0.006638829686928146,1,0.38854579507113374
HOMEFIRST,HOMEFIRST.NS,13.487935252627961,3.690353105145397,3.8434375845304096,27.096323047376437,27.757286,126250696704.0,Financial Services,39.25075387065217,1,0.4048143198662613,0.015516344042687955,0.52408850292249,0.40209836078280214,1,0.38435632956548427
GLENMARK,GLENMARK.NS,-1.0282230824504643,15.38824248518284,0.8136995187064855,3.5992052968180532,72.2855,544450019328.0,Healthcare,58.63961940816326,1,0.0017898204771551638,0.4232271718187987,0.9152369002334909,0.19822684406195903,1,0.3832746429452617
HINDPETRO,HINDPETRO.NS,10.820661703124884,9.426207658841598,2.807749408585005,-2.6204505380532206,9.525099,973053165568.0,Oil Gas & Consumable Fuels,49.56356671764706,1,0.33076052669258177,0.2154301859432315,0.6577989958211002,0.1442623245835343,1,0.3806080187834543
JIOFIN,JIOFIN.NS,2.507094471830167,1.5392792291418902,0.08108304634132457,886.3637350678516,118.540855,1936109207552.0,Financial Services,39.25075387065217,0,0.09994386058929568,0.0,0.9999999998708969,0.9999999999913235,0,0.37998315815568795
TIINDIA,TIINDIA.NS,13.65619222321291,14.14315120413335,1.0753844753844755,-3.3145324408444865,93.88108,608009060352.0,Automobile and Auto Components,45.62317724242425,0,0.40948578181737955,0.3798315488682352,0.8814525765787136,0.1382401591523217,0,0.377669540079544
ADANIENSOL,ADANIENSOL.NS,8.43777091721755,10.178193328111222,2.214083018487471,-5.701516418070096,44.607124,1098032021504.0,Power,36.544590211111114,1,0.2646022950226716,0.2416394182015647,0.7344431320398227,0.1175296171619633,1,0.3734629362955587
KEC,KEC.NS,8.245292927730596,7.313626776534282,3.1477564072595348,19.783922386529127,37.297707,229504319488.0,Construction,31.43623635,1,0.2592583642411407,0.14179962984143107,0.6139030583781058,0.3386526978115635,1,0.37304341505172856
JYOTICNC,JYOTICNC.NS,-23.556841330432405,18.409577624687152,0.65582540106159,,62.98578,211571703808.0,Capital Goods,60.8815871171875,1,0.0,0.5285308732556139,0.9356189288947362,,1,0.3724755576481139
RCF,RCF.NS,12.286647760205472,7.2079953696418135,1.3742563741615441,-29.852108290260414,28.49228,81423646720.0,Chemicals,70.86632838461539,1,0.3714619494194593,0.13811801968560433,0.8428673056186133,0.0,1,0.3723981855900309
ITCHOTELS,ITCHOTELS.NS,5.914839436115595,10.557353269816218,0.16291464555890697,,65.89264,447389007872.0,Consumer Services,215.50412475,1,0.19455599394954134,0.2548544186747177,0.999255206303357,,1,0.37196868379904535
NBCC,NBCC.NS,15.25802809466119,11.160688151803527,4.106632483567637,34.11492077356164,53.133976,299834998784.0,Construction,31.43623635,0,0.4539589189444326,0.2758826705387698,0.4901092411176099,0.46299485791410816,0,0.37127370106848534
RVNL,RVNL.NS,16.809097318783255,8.855151061123818,1.139972688357864,4.898157429790162,60.691765,722563694592.0,Construction,31.43623635,0,0.4970225782914816,0.19552694095616183,0.8731140418800539,0.20949713449962368,0,0.3708550419084178
AAVAS,AAVAS.NS,12.991427209381465,3.0705009046733767,3.269477182142501,17.35857777161012,22.701782,132042334208.0,Financial Services,39.25075387065217,1,0.39102934308707255,0.0,0.5981885362047252,0.3176093217488752,1,0.3705589477066056
CRAFTSMAN,CRAFTSMAN.NS,13.956751591390201,12.018804415805267,1.4911052458396634,6.059485350464611,75.16428,158257938432.0,Automobile and Auto Components,45.62317724242425,0,0.4178304682075549,0.30579091132974,0.8277817609637602,0.21957333563678388,0,0.3698787995666223
GRAPHITE,GRAPHITE.NS,9.120472554727787,4.090659123744828,0.23248580252384426,-2.886967409022634,32.032013,115350020096.0,Capital Goods,60.8815871171875,1,0.28355672355248407,0.029468356487381712,0.9902733583829469,0.14194990485218506,1,0.36936509091546965
ZEEL,ZEEL.NS,4.9799722419305095,9.691368114477614,0.1908007109723848,-13.513848505805015,14.850341,104840699904.0,Media Entertainment & Publication,23.900002999999998,1,0.16860047774238732,0.22467192052873194,0.9956550304608207,0.04974632523818771,1,0.3660456430716599
HEG,HEG.NS,8.269013206948664,7.776683811479318,0.2681759848171716,-35.613428209975886,50.464775,99557392384.0,Capital Goods,60.8815871171875,1,0.25991693060812016,0.15793872646745744,0.9856656473199855,0.0,1,0.36530960789729816
POWERINDIA,POWERINDIA.NS,11.71100032876505,9.027252887244464,1.0439238653001464,23.590726523597773,151.36101,793120669696.0,Capital Goods,60.8815871171875,0,0.3554797582277119,0.20152526900576456,0.8855142370079511,0.37168223537111894,0,0.3641888273451712
MRPL,MRPL.NS,23.866698233276495,7.112545633313733,1.6550349442818297,-73.3162664651255,,257641512960.0,Oil Gas & Consumable Fuels,49.56356671764706,0,0.6929687790557879,0.1347912750272266,0.806617938407406,0.0,0,0.3625811432346539
ASHOKLEY,ASHOKLEY.NS,11.981934325649016,12.55240354466778,4.1571632693504394,,25.953445,818583306240.0,Capital Goods,60.8815871171875,1,0.3630019301371891,0.3243886374204316,0.48358556301594086,,1,0.3625355728486558
KPIL,KPIL.NS,10.160593061320107,7.240384844560614,2.954961152351419,2.725930894797468,29.362907,212509360128.0,Construction,31.43623635,1,0.312434477349143,0.13924690193105566,0.6387935120503665,0.1906499242565845,1,0.36249108034637867
DALBHARAT,DALBHARAT.NS,5.130140068653164,8.652027027027028,0.7272,-5.448204361819753,44.81125,418729000960.0,Construction Materials,53.96048288888889,1,0.17276971534590652,0.18844738451718993,0.9264042511315341,0.11972746600707138,1,0.36184889160421385
SAIL,SAIL.NS,8.989314096055944,8.833049989090098,1.3150759859843546,-42.13813844781722,17.969986,544154681344.0,Metals & Mining,30.47386776875,1,0.2799152592665008,0.19475664418886768,0.8505076736916386,0.0,1,0.36023988988091293
RHIM,RHIM.NS,3.240760176015387,9.960876578630991,0.2943972129551948,-9.030103992525017,57.2875,94823907328.0,Capital Goods,60.8815871171875,1,0.12031324802107081,0.23406519784935317,0.9822804070322497,0.08864930066756473,1,0.35968219505700993
JSWENERGY,JSWENERGY.NS,8.179580219954886,6.563343593573917,2.0922741778768894,4.114467694950763,42.96222,932766875648.0,Power,36.544590211111114,1,0.25743392622224626,0.11564973496267761,0.7501690237664341,0.20269749138695012,1,0.35920746344969845
NHPC,NHPC.NS,8.800927224048731,8.277978642114471,1.273488776004106,-16.769783347065125,32.1203,858545586176.0,Power,36.544590211111114,1,0.2746849136730173,0.1754105390071559,0.8558767089610247,0.02149637639430613,1,0.358938890476709
PNBHOUSING,PNBHOUSING.NS,9.88068961150151,,3.893537557974113,32.27986163075083,11.226777,228270620672.0,Financial Services,39.25075387065217,1,0.30466327885871164,,0.5176204440038391,0.4470730629650915,1,0.3584566628512077
MANAPPURAM,MANAPPURAM.NS,14.99914220796322,,2.9525448265801604,-2.9008888231518926,31.270012,248047992832.0,Financial Services,39.25075387065217,1,0.4467712490060837,,0.6391054670551475,0.1418291164285341,1,0.35826301804580407
IDFCFIRSTB,IDFCFIRSTB.NS,5.8160577478199675,,8.013280294623776,124.16535009862658,41.37356,528353460224.0,Financial Services,39.25075387065217,1,0.1918134335864492,,0.0,0.9999999999913235,1,0.35754403007419944
KOTAKBANK,KOTAKBANK.NS,13.448272408182731,,4.586246550114336,22.320547630053778,21.980282,4210864685056.0,Financial Services,39.25075387065217,1,0.4037131264473208,,0.4281896066865931,0.36066159444474566,1,0.3574746978261343
RECLTD,RECLTD.NS,19.858675858417673,,6.840427676512445,16.539414593606327,5.8175855,980875935744.0,Financial Services,39.25075387065217,1,0.5816906313612735,,0.13716796861652214,0.3105018951566273,1,0.3571827637321858
CHALET,CHALET.NS,6.50257790272588,10.826283670123047,1.3191556495021508,,72.63643,206657716224.0,Consumer Services,215.50412475,1,0.21087387887539846,0.26422754852413904,0.8499809767258003,,1,0.35681619730252434
CGCL,CGCL.NS,8.701542901583803,3.0757579118912868,3.8398795380308575,32.64485023362227,27.42174,181950988288.0,Financial Services,39.25075387065217,1,0.2719256218628858,0.0,0.524547857545108,0.4502398675427063,1,0.35030783869917326
FACT,FACT.NS,28.222054651555748,5.149618991065806,3.3637581265236776,-50.80785669994554,625.0,578320596992.0,Chemicals,70.86632838461539,0,0.8138902583907434,0.06637667302727826,0.5860165795898433,0.0,0,0.34866373271251905
J&KBANK,J&KBANK.NS,11.808548955232885,,10.92425621013482,61.43121553447584,5.229113,112342630400.0,Financial Services,39.25075387065217,1,0.35818808404235186,,0.0,0.7000032647843021,1,0.34745707816956595
FORTIS,FORTIS.NS,7.657924777339432,12.019909628524553,0.49317749076511663,11.727135463424855,92.089874,796783280128.0,Healthcare,58.63961940816326,0,0.24295076072069283,0.30582943171388877,0.9566172687037414,0.26874840625772434,0,0.34658485770178615
LTF,LTF.NS,5.381971407742142,,3.6977798863256854,44.83676312104237,24.040451,639176474624.0,Financial Services,39.25075387065217,1,0.1797615238550189,,0.5428933546855725,0.5560223638672889,1,0.3465669331327993
JBMA,JBMA.NS,14.763697190702334,11.756528266718435,3.219697245122786,8.935275297004285,75.74713,155873017856.0,Automobile and Auto Components,45.62317724242425,0,0.4402343879423734,0.29664970453797423,0.6046152774478527,0.24452497712726678,0,0.3458300295598368
CHOLAFIN,CHOLAFIN.NS,18.084711767673248,,7.52969724982667,25.55865011668912,30.406734,1352380710912.0,Financial Services,39.25075387065217,1,0.5324385514994249,,0.048181170728507985,0.38875682179373366,1,0.3447101054178504
TEJASNET,TEJASNET.NS,2.283865001213595,14.132800021535866,1.7199946962291228,,59.165833,103660453888.0,Telecommunication,77.3856,1,0.09374615017808217,0.3794707753057425,0.7982314368974169,,1,0.3427262544144728
HDFCBANK,HDFCBANK.NS,12.01700606524718,,4.588342830728116,20.388517319859577,22.385635,15036419407872.0,Financial Services,39.25075387065217,1,0.36397565679185767,,0.4279189704848556,0.3438984342192506,1,0.3421602294541357
IDBI,IDBI.NS,9.390130884459765,,5.6838662578937535,44.412444695159124,12.381275,981475655680.0,Financial Services,39.25075387065217,1,0.29104347802551217,,0.28648356470301556,0.5523407871745322,1,0.34075373554801247
CREDITACC,CREDITACC.NS,13.573987226104087,10.08388175396008,2.996919193153507,14.600605123610478,113.58382,219789164544.0,Financial Services,39.25075387065217,0,0.4072034542867542,0.23835234232686472,0.6333766013942358,0.2936799159046659,0,0.335491595257811
CANFINHOME,CANFINHOME.NS,16.64784738381572,,7.08433837816118,22.081242894279775,11.98565,105651142656.0,Financial Services,39.25075387065217,1,0.4925456586536065,,0.10567835533506528,0.3585852793852287,1,0.33533250677338744
SUNDARMFIN,SUNDARMFIN.NS,12.070695482540454,,4.708694436466939,17.004221083414773,25.07597,482016690176.0,Financial Services,39.25075387065217,1,0.3654662819302475,,0.4123812122114373,0.3145347644244629,1,0.3344040192956824
DEVYANI,DEVYANI.NS,13.644735734414848,16.15638872027933,2.8071083619061747,-61.17558887559254,,203386945536.0,Consumer Services,215.50412475,0,0.4091677055360374,0.44999965420341936,0.6578817568966713,0.0,0,0.33393248874616677
ADANIGREEN,ADANIGREEN.NS,11.165033420763107,8.490574518388003,3.9350108536747443,43.467251409479026,104.82447,1721463734272.0,Power,36.544590211111114,0,0.3403216127527637,0.1828202210345125,0.5122661154143492,0.5441398669258612,0,0.33346942978178185
ICICIBANK,ICICIBANK.NS,15.163559014006726,,7.037416090950917,26.665045309196913,18.65115,9789732028416.0,Financial Services,39.25075387065217,1,0.4513360931898725,,0.11173616529807597,0.39835640197985467,1,0.33183253314764405
CANBK,CANBK.NS,13.941104101136133,,15.234380170208558,42.00673623195157,6.1784315,1144068374528.0,Financial Services,39.25075387065217,1,0.41739603357404015,,0.0,0.5314677831580868,1,0.33151236670382944
UBL,UBL.NS,9.211101662308964,10.655220192961561,0.8818003313774132,6.518711811580058,101.618164,461598523392.0,Fast Moving Consumer Goods,53.197095983333334,0,0.28607293685560853,0.2582654104315367,0.9064448782325507,0.223557790076679,0,0.33106652341478515
UNIONBANK,UNIONBANK.NS,12.051122693072038,,12.276599127413148,50.71824225479882,5.518053,1038397997056.0,Financial Services,39.25075387065217,1,0.36492286586278183,,0.0,0.6070527108353729,1,0.33088740192590915
RELINFRA,RELINFRA.NS,-5.0185227425808865,15.989288722793813,1.7649326014589615,,1.8068225,94930477056.0,Power,36.544590211111114,1,0.0,0.4441756567212352,0.7924298166823094,,1,0.3299083866826552
LAURUSLABS,LAURUSLABS.NS,13.959305525625009,11.439062021213115,1.028360550307223,-24.346182024252016,90.73857,460929466368.0,Healthcare,58.63961940816326,0,0.4179013752645528,0.2855849370794249,0.8875235082994192,0.0,0,0.3298951730941349
UPL,UPL.NS,5.287718202308892,8.859972252786681,1.3264950034367895,-37.22478418802345,49.87435,554748215296.0,Chemicals,70.86632838461539,1,0.17714469162856405,0.19569497571695274,0.8490334438148813,0.0,1,0.3294221679900396
NTPCGREEN,NTPCGREEN.NS,3.856722409696508,4.782807311531247,1.4509496454275752,66.64417932737435,149.31818,830414782464.0,Power,36.544590211111114,0,0.13741473349274938,0.05359205106323455,0.8329659710845707,0.7452332732624185,0,0.32861398312880274
KARURVYSYA,KARURVYSYA.NS,13.502141556183858,,9.0060342377569,42.339762321998585,10.853906,217545261056.0,Financial Services,39.25075387065217,1,0.40520874160282705,,0.0,0.534357266660117,1,0.32843407581287154
